osm_id,osm_name_street,osm_nodes
24332616,Prol. Kiwi,1
24332618,Los Ruiseñores,2
24332657,Los Pelicanos,1
24332660,Los Gavilanes,5
24332662,Los Gorriones,1
24332678,Del Parque,4
24332682,Del Parque,4
24332689,Halcones,2
24332695,Los Tucanes,3
24332707,Los Colibries,1
24332708,Flamencos,2
24332726,c. Las Golondrinas,6
24551967,15 - Panamericana Sur,1
24551968,1S - Panamericana Sur,4
24551979,Antigua Panamericana Sur,4
25111783,Av. Santa Elvira,9
25111799,Av. Santa Elvira,14
25111821,Av. Central,17
25112316,Independencia,1
25112346,Av. Ferrocarril,27
25112361,Av. José Carlos Mariátegui,17
25112375,Rio Rimac,11
25112385,La Atarjea,3
25112389,La Atarjea,6
25112392,Los Puquiales,6
25112398,Agua Dulce,5
25112409,Rio Blanco,8
25113196,Av. Marañon,20
25113198,Av. Marañon,27
25113263,Cipianon Ruiz,2
25113269,Emilio de Los Rios,3
25113273,Blondet,7
25113283,Manuel Trelles,1
25113291,Antonio Moreno,4
25113292,Cipriano Ruiz,3
25113313,Mariano Benavides,4
25113322,Calle Miguel Ortiz,6
25113326,Aristides,4
25113329,Simon Grados,1
25113342,Pedro Helmes,6
25113347,Rio PaucarTambo,7
25113410,Rio Huaura,2
25113411,Rio Lurin,3
25113417,Tarica,2
25113427,Rio Huaura,1
25113430,Rio Chillon,2
25113431,Pedro Helmes,4
25113432,Rio Chicama,2
25113433,Rio Majes,3
25113446,Calle 1,1
25113517,Rio Urubanba,9
25113525,Rio Chicama,5
25113527,Rio Blanco,5
25113529,Rio Ucayali,1
25113530,Rio Chira,1
25113542,Rio Huaura,2
25113546,Rio Paucar Tambo,2
25113555,Tarica,3
25113558,Manuel de La Jara,12
25113578,Ramon Zavala,2
25113579,Ricardo Odonovan,2
25113581,Justo Arias,4
25113593,Piras,6
25113596,Marca,3
25113602,El Zinc,4
25113618,Av. Los Alisos,21
25113654,Gerardo Unger,5
25113705,Avenida A,18
25113708,Avenida A,13
25113715,Los Olivos,41
25113731,Av. Carlos Alberto Izaguirre,25
25113781,22 de Agosto,14
25113794,22 De Agosto,17
25113808,Av. Carabayllo,25
25113817,Maestro Peruano,9
25113820,Maestro Peruano,13
25113831,Rosa de America,9
25113859,Alfedo Mendiola,2
25113861,Los Hornos,3
25113895,1C - Ruta 1C,3
25113907,JULIO CESAR TELLO,2
25113909,JULIO CESAR TELLO,8
25113980,Alejandro Bertello Bollati,9
25113984,Elmer Faucett,1
25113992,Alejandro Bertello Bollati,13
25113998,Av. Bocanegra,16
25114000,Av. Pacasmayo,38
25114001,Av. Pacasmayo,37
25137819,Av. Mexico,19
25137853,Av. Mexico,19
25137971,25 de Enero,4
25137976,25 de Enero,5
25137993,Alfredo Mendiola,14
25138011,2 de Octubre,1
25138023,Gerardo Unger,15
25138061,San Carlos,4
25138076,Santa Angelica,4
25138104,Santa Marina,4
25138105,Santa Leonor,6
25138108,Santa Marina,4
25138111,Santa Monica,5
25138142,Rosa de America,5
25138203,San Andes,3
25138243,LIBERTAD,29
25138592,Los Escritores,3
25138594,Industrias Unidas,8
25138738,LAS GARZAS,4
25138757,LOS INGENIEROS,8
25138874,LOS ASTRONOMOS,4
25138933,LOS SANITARIOS,6
25139011,LOS AGRONOMOS,6
25139076,Las Garzas,1
25139321,Eulogio Fernandini,20
25139371,Los Portales,9
25139372,Los Portales,6
25139374,Av. Guillermo de la Fuente,17
25139376,Av. Guillermo de la Fuente,21
25139474,Av. Trapiche,22
26359375,Olaechea,11
26359406,Jorge Buckley,3
26359418,Aurelio Fernandez Concha,7
26359428,Laranaga,2
26359443,Gerobolini,3
26406792,1S - Panamericana Sur,4
26406972,Prolongacion Huaylas,7
26407080,Prolongacion Huaylas,15
26407297,Tomas Marsano,9
26407306,PACHACUTEC,20
26407451,Tomas Marsano,22
26407453,Tomas Marsano,1
26407458,Tomas Marsano,20
26411322,Paseo de la Republica,5
26411329,Jirón de la Unión,6
26411548,Av. Tomas Valle,4
26411656,Av. Panamericana Norte,9
